ICDId;Category;ICD10CODE;DESCRIPTION
1327;C00-C14;C01;Malignant neoplasm of base of tongue
1328;C00-C14;C02;Malignant neoplasm of other and unspecified parts of tongue
1329;C00-C14;C02.0;Dorsal surface of tongue
1330;C00-C14;C02.1;Border of tongue
1331;C00-C14;C02.2;Ventral surface of tongue
1332;C00-C14;C02.3;Anterior two-thirds of tongue, part unspecified
1333;C00-C14;C02.4;Lingual tonsil
1334;C00-C14;C02.8;Overlapping lesion of tongue
1335;C00-C14;C02.9;Tongue, unspecified
1336;C00-C14;C03;Malignant neoplasm of gum
1337;C00-C14;C03.0;Upper gum
1338;C00-C14;C03.1;Lower gum
1339;C00-C14;C03.9;Gum, unspecified
1340;C00-C14;C04;Malignant neoplasm of floor of mouth
1341;C00-C14;C04.0;Anterior floor of mouth
1342;C00-C14;C04.1;Lateral floor of mouth
1343;C00-C14;C04.8;Overlapping lesion of floor of mouth
1344;C00-C14;C04.9;Floor of mouth, unspecified
1345;C00-C14;C05;Malignant neoplasm of palate
1346;C00-C14;C05.0;Hard palate
1347;C00-C14;C05.1;Soft palate
1348;C00-C14;C05.2;Uvula,C00-C14
1349;C00-C14;C05.8;Overlapping lesion of palate
1350;C00-C14;C05.9;Palate, unspecified
1351;C00-C14;C06;Malignant neoplasm of other and unspecified parts of mouth
1352;C00-C14;C06.0;Cheek mucosa
1353;C00-C14;C06.1;Vestibule of mouth
1354;C00-C14;C06.2;Retromolar area
1355;C00-C14;C06.8;Overlapping lesion of other and unspecified parts of mouth
1356;C00-C14;C06.9;Mouth, unspecified(CARCINOMA, ORAL, MALIGNANT, PRIMARY SITE)
1357;C00-C14;C06.9/0;Carcinoma, mouth
1358;C00-C14;C07;Malignant neoplasm of parotid gland
1359;C00-C14;C08;Malignant neoplasm of other and unspecified major salivary glands
1360;C00-C14;C08.0;Submandibular gland
1361;C00-C14;C08.1;Sublingual gland
1362;C00-C14;C08.8;Overlapping lesion of major salivary glands
1363;C00-C14;C08.9;Major salivary gland, unspecified
1364;C00-C14;C09;Malignant neoplasm of tonsil
1365;C00-C14;C09.0;Tonsillar fossa
1366;C00-C14;C09.1;Tonsillar pillar (anterior)(posterior)
1367;C00-C14;C09.8;Overlapping lesion of tonsil
1368;C00-C14;C09.9;Tonsil, unspecified
1369;C00-C14;C10;Malignant neoplasm of oropharynx
1370;C00-C14;C10.0;Vallecula,C00-C14
1371;C00-C14;C10.1;Anterior surface of epiglottis
1372;C00-C14;C10.2;Lateral wall of oropharynx
1373;C00-C14;C10.3;Posterior wall of oropharynx
1374;C00-C14;C10.4;Branchial cleft
1375;C00-C14;C10.8;Overlapping lesion of oropharynx
1376;C00-C14;C10.9;Oropharynx, unspecified
1377;C00-C14;C11;Malignant neoplasm of nasopharynx
1378;C00-C14;C11.0;Superior wall of nasopharynx
1379;C00-C14;C11.1;Posterior wall of nasopharynx
1380;C00-C14;C11.2;Lateral wall of nasopharynx
1381;C00-C14;C11.3;Anterior wall of nasopharynx
1382;C00-C14;C11.8;Overlapping lesion of nasopharynx
1383;C00-C14;C11.9;Nasopharynx, unspecified(CANCER/CARCINOMA, NASOPHARYNGEAL, PRIMARY SITE, MALIGNANT)
1384;C00-C14;C11.9/0;Cancer, nasopharyngeal
1385;C00-C14;C11.9/1;Carcinoma, nasopharyngeal
1386;C00-C14;C12;Malignant neoplasm of pyriform sinus
1387;C00-C14;C13;Malignant neoplasm of hypopharynx
1388;C00-C14;C13.0;Postcricoid region
1389;C00-C14;C13.1;Aryepiglottic fold, hypopharyngeal aspect
1390;C00-C14;C13.2;Posterior wall of hypopharynx
1391;C00-C14;C13.8;Overlapping lesion of hypopharynx
1392;C00-C14;C13.9;Hypopharynx, unspecified
1393;C00-C14;C14;Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx
1394;C00-C14;C14.0;Pharynx, unspecified
1395;C00-C14;C14.2;Waldeyer's ring
1396;C00-C14;C14.8;Overlapping lesion of lip, oral cavity and pharynx
1397;C15-C26;C15;Malignant neoplasm of esophagus
1398;C15-C26;C15.0;Cervical part of oesophagus
1399;C15-C26;C15.1;Thoracic part of oesophagus
1400;C15-C26;C15.2;Abdominal part of oesophagus
1401;C15-C26;C15.3;Upper third of oesophagus
1402;C15-C26;C15.4;Middle third of oesophagus
1403;C15-C26;C15.5;Lower third of oesophagus
1404;C15-C26;C15.8;Overlapping lesion of oesophagus
1405;C15-C26;C15.9;Oesophagus, unspecified
1406;C15-C26;C16;Malignant neoplasm of stomach
1407;C15-C26;C16.0;Cardia,C15-C26
1408;C15-C26;C16.1;Fundus of stomach
1409;C15-C26;C16.2;Body of stomach
1410;C15-C26;C16.3;Pyloric antrum
1411;C15-C26;C16.4;Pylorus,C15-C26
1412;C15-C26;C16.5;Lesser curvature of stomach, unspecified
1413;C15-C26;C16.6;Greater curvature of stomach, unspecified
1414;C15-C26;C16.8;Overlapping lesion of stomach
1415;C15-C26;C16.9;Stomach, unspecified
1416;C15-C26;C16.9/0;Cancer, gastric
1417;C15-C26;C16.9/1;Carcinoma, gastric
1418;C15-C26;C16.9/2;Gastric malignancy
1419;C15-C26;C17;Malignant neoplasm of small intestine
1420;C15-C26;C17.0;Duodenum,C15-C26
1421;C15-C26;C17.1;Jejunum,C15-C26
1422;C15-C26;C17.2;Ileum,C15-C26
1423;C15-C26;C17.3;Meckel's diverticulum
1424;C15-C26;C17.8;Overlapping lesion of small intestine
1425;C15-C26;C17.9;Small intestine, unspecified
1426;C15-C26;C18;Malignant neoplasm of colon
1427;C15-C26;C18.0;Caecum,C15-C26
1428;C15-C26;C18.1;Appendix,C15-C26
1429;C15-C26;C18.2;Ascending colon
1430;C15-C26;C18.3;Hepatic flexure
1431;C15-C26;C18.4;Transverse colon
1432;C15-C26;C18.5;Splenic flexure
1433;C15-C26;C18.6;Descending colon
1434;C15-C26;C18.7;Sigmoid colon
1435;C15-C26;C18.8;Overlapping lesion of colon
1436;C15-C26;C18.9;Colon, unspecified(CANCER, COLON, PRIMARY, MALIGNANT)(COLONIC MALIGNANCY)
1437;C15-C26;C18.9/0;Cancer, colon
1438;C15-C26;C18.9/1;Colonic malignancy
1439;C15-C26;C19;Malignant neoplasm of rectosigmoid junction(CARCINOMA, COLORECTAL, MALIGNANT, PRIMARY SITE)
1440;C15-C26;C19/.0;Carcinoma, colorectal
1441;C15-C26;C20;Malignant neoplasm of rectum
1442;C15-C26;C21;Malignant neoplasm of anus and anal canal
1443;C15-C26;C21.0;Anus, unspecified
1444;C15-C26;C21.1;Anal canal
1445;C15-C26;C21.2;Cloacogenic zone
1446;C15-C26;C21.8;Overlapping lesion of rectum, anus and anal canal
1447;C15-C26;C22;Malignant neoplasm of liver and intrahepatic bile ducts
1448;C15-C26;C22.0;Liver cell carcinoma(HEPATOMA)(ANEMIA SECONDARY TO HEPATOMA)(CARCINOMA, HEPATOCELLULAR, MALIGNANT, PRIMARY SITE)
1449;C15-C26;C22.0/0;Carcinoma, hepatocellular
1450;C15-C26;C22.0/1;Anemia secondary to hepatoma
1451;C15-C26;C22.1;Intrahepatic bile duct carcinoma
1452;C15-C26;C22.2;Hepatoblastoma,C15-C26
1453;C15-C26;C22.3;Angiosarcoma of liver
1454;C15-C26;C22.4;Other sarcomas of liver
1455;C15-C26;C22.7;Other specified carcinomas of liver
1456;C15-C26;C22.9;Liver, unspecified(CANCER, LIVER, PRIMARY, MALIGNANT)
1457;C15-C26;C22.9/0;Cancer, liver
1458;C15-C26;C22.9/1;Liver malignancy
1459;C15-C26;C23;Malignant neoplasm of gallbladder
1460;C15-C26;C24;Malignant neoplasm of other and unspecified parts of biliary tract
1461;C15-C26;C24.0;Extrahepatic bile duct
1462;C15-C26;C24.1;Ampulla of Vater
1463;C15-C26;C24.8;Overlapping lesion of biliary tract
1464;C15-C26;C24.9;Biliary tract, unspecified
1465;C15-C26;C25;Malignant neoplasm of pancreas
1466;C15-C26;C25.0;Head of pancreas
1467;C15-C26;C25.1;Body of pancreas
1468;C15-C26;C25.2;Tail of pancreas
1469;C15-C26;C25.3;Pancreatic duct
1470;C15-C26;C25.4;Endocrine pancreas
1471;C15-C26;C25.7;Other parts of pancreas
1472;C15-C26;C25.8;Overlapping lesion of pancreas
1473;C15-C26;C25.9;Pancreas, unspecified(PANCREATIC CANCER)
1474;C15-C26;C26;Malignant neoplasm of other and ill-defined digestive organs
1475;C15-C26;C26.0;Intestinal tract, part unspecified
1476;C15-C26;C26.1;Spleen,C15-C26
1477;C15-C26;C26.8;Overlapping lesion of digestive system
1478;C15-C26;C26.9;Ill-defined sites within the digestive system
1479;C30-C39;C30;Malignant neoplasm of nasal cavity and middle ear
1480;C30-C39;C30.0;Nasal cavity
1481;C30-C39;C30.1;Middle ear
1482;C30-C39;C31;Malignant neoplasm of accessory sinuses
1483;C30-C39;C31.0;Maxillary sinus
1484;C30-C39;C31.1;Ethmoidal sinus
1485;C30-C39;C31.2;Frontal sinus
1486;C30-C39;C31.3;Sphenoid sinus
1487;C30-C39;C31.8;Overlapping lesion of accessory sinuses
1488;C30-C39;C31.9;Accessory sinus, unspecified
1489;C30-C39;C32;Malignant neoplasm of larynx
1490;C30-C39;C32.0;Glottis,C30-C39
1491;C30-C39;C32.1;Supraglottis,C30-C39
1492;C30-C39;C32.2;Subglottis,C30-C39
1493;C30-C39;C32.3;Laryngeal cartilage
1494;C30-C39;C32.8;Overlapping lesion of larynx
1495;C30-C39;C32.9;Larynx, unspecified
1496;C30-C39;C33;Malignant neoplasm of trachea
1497;C30-C39;C34;Malignant neoplasm of bronchus and lung
1498;C30-C39;C34.0;Malignant neoplasm of main bronchus
1499;C30-C39;C34.1;Malignant neoplasm of upper lobe, bronchus or lung
1500;C30-C39;C34.2;Malignant neoplasm of middle lobe, bronchus or lung
1501;C30-C39;C34.3;Malignant neoplasm of lower lobe, bronchus or lung
1502;C30-C39;C34.8;Malignant neoplasm of overlapping lesion of bronchus and lung
1503;C30-C39;C34.9;Malignant neoplasm of bronchus or lung, unspecified(CANCER/CARCINOMA,  LUNG, PRIMARY SITE, MALIGNANT)(ANEMIA SECONDARY TO BROCHOGENIC CANCER)
1504;C30-C39;C34.9/0;Cancer, lung
1505;C30-C39;C34.9/1;Carcinoma, lung
1506;C30-C39;C34.9/2;Anemia secondary to bronchogenic carcinoma
1507;C30-C39;C37;Malignant neoplasm of thymus
1508;C30-C39;C38;Malignant neoplasm of heart, mediastinum and pleura
1509;C30-C39;C38.0;Heart,C30-C39
1510;C30-C39;C38.1;Anterior mediastinum
1511;C30-C39;C38.2;Posterior mediastinum
1512;C30-C39;C38.3;Mediastinum, part unspecified
1513;C30-C39;C38.4;Pleura,C30-C39
1514;C30-C39;C38.8;Overlapping lesion of heart, mediastinum and pleura
1515;C30-C39;C39;Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
1516;C30-C39;C39.0;Upper respiratory tract, part unspecified
1517;C30-C39;C39.8;Overlapping lesion of respiratory and intrathoracic organs
1518;C30-C39;C39.9;Ill-defined sites within the  respiratory system
1519;C40-C41;C40;Malignant neoplasm of bone and articular cartilage of limbs
1520;C40-C41;C40.0;Scapula and long bones of upper limb
1521;C40-C41;C40.1;Short bones of upper limb
1522;C40-C41;C40.2;Long bones of lower limb
1523;C40-C41;C40.3;Short bones of lower limb
1524;C40-C41;C40.8;Overlapping lesion of bone and articular cartilage of limb
1525;C40-C41;C40.9;Bone and articular cartilage of limb, unspecified
1526;C40-C41;C41;Malignant neoplasm of bone and articular cartilage of other and unspecified sites
1527;C40-C41;C41.0;Bones of skull and face
1528;C40-C41;C41.1;Mandible,C40-C41
1529;C40-C41;C41.2;Vertebral column
1530;C40-C41;C41.3;Ribs, sternum and clavicle
1531;C40-C41;C41.4;Pelvic bones, sacrum and coccyx
1532;C40-C41;C41.8;Overlapping lesion of bone and articular cartilage
1533;C40-C41;C41.9;Bone and articular cartilage, unspecified
1534;C43-C44;C43;Malignant melanoma of skin
1535;C43-C44;C43.0;Malignant melanoma of lip
1536;C43-C44;C43.1;Malignant melanoma of eyelid, including canthus
1537;C43-C44;C43.2;Malignant melanoma of ear and external auricular canal
1538;C43-C44;C43.3;Malignant melanoma of other and unspecified parts of face
1539;C43-C44;C43.4;Malignant melanoma of scalp and neck
1540;C43-C44;C43.5;Malignant melanoma of trunk
1541;C43-C44;C43.6;Malignant melanoma of upper limb, including shoulder
1542;C43-C44;C43.7;Malignant melanoma of lower limb, including hip
1543;C43-C44;C43.8;Overlapping malignant melanoma of skin
1544;C43-C44;C43.9;Malignant melanoma of skin, unspecified
1545;C43-C44;C43.9/0;Melanoma, Malignant, Skin
1546;C43-C44;C44;Other malignant neoplasms of skin
1547;C43-C44;C44.0;Skin of lip
1548;C43-C44;C44.1;Skin of eyelid, including canthus
1549;C43-C44;C44.2;Skin of ear and external auricular canal
1550;C43-C44;C44.3;Skin of other and unspecified parts of face
1551;C43-C44;C44.4;Skin of scalp and neck(CARCINOMA, HEAD AND NECK, MALIGNANT, PRIMARY SITE)
1552;C43-C44;C44.4/0;Carcinoma, head
1553;C43-C44;C44.4/1;Carcinoma, head and neck
1554;C43-C44;C44.5;Skin of trunk
1555;C43-C44;C44.6;Skin of upper limb, including shoulder
1556;C43-C44;C44.7;Skin of lower limb, including hip
1557;C43-C44;C44.8;Overlapping lesion of skin
1558;C43-C44;C44.9;Malignant neoplasm of skin, unspecified
1559;C45-C49;C45;Mesothelioma,C45-C49
1560;C45-C49;C45.0;Mesothelioma of pleura
1561;C45-C49;C45.1;Mesothelioma of peritoneum
1562;C45-C49;C45.2;Mesothelioma of pericardium
1563;C45-C49;C45.7;Mesothelioma of other sites
1564;C45-C49;C45.9;Mesothelioma, unspecified
1565;C45-C49;C46;Kaposi's sarcoma
1566;C45-C49;C46.0;Kaposi's sarcoma of skin
1567;C45-C49;C46.1;Kaposi's sarcoma of soft tissue
1568;C45-C49;C46.1/0;Kaposi sarcoma, connective tissue
1569;C45-C49;C46.2;Kaposi's sarcoma of palate
1570;C45-C49;C46.3;Kaposi's sarcoma of lymph nodes
1571;C45-C49;C46.7;Kaposi's sarcoma of other sites
1572;C45-C49;C46.8;Kaposi's sarcoma of multiple organs
1573;C45-C49;C46.9;Kaposi's sarcoma, unspecified
1574;C45-C49;C46.90;Kaposi sarcoma
1575;C45-C49;C47;Malignant neoplasm of peripheral nerves and autonomic nervous system
1576;C45-C49;C47.0;Peripheral nerves of head, face and neck
1577;C45-C49;C47.1;Peripheral nerves of upper limb, including shoulder
1578;C45-C49;C47.2;Peripheral nerves of lower limb, including hip
1579;C45-C49;C47.3;Peripheral nerves of thorax
1580;C45-C49;C47.4;Peripheral nerves of abdomen
1581;C45-C49;C47.5;Peripheral nerves of pelvis
1582;C45-C49;C47.6;Peripheral nerves of trunk, unspecified
1583;C45-C49;C47.8;Overlapping lesion of peripheral nerves and autonomic nervous system
1584;C45-C49;C47.9;Peripheral nerves and autonomic nervous system, unspecified
1585;C45-C49;C48;Malignant neoplasm of retroperitoneum and peritoneum
1586;C45-C49;C48.0;Retroperitoneum,C45-C49
1587;C45-C49;C48.1;Specified parts of peritoneum
1588;C45-C49;C48.2;Peritoneum, unspecified
1589;C45-C49;C48.8;Overlapping lesion of retroperitoneum and peritoneum
1590;C45-C49;C49;Malignant neoplasm of other connective and soft tissue
1591;C45-C49;C49.0;Connective and soft tissue of head, face and neck
1592;C45-C49;C49.1;Connective and soft tissue of upper limb, including shoulder
1593;C45-C49;C49.2;Connective and soft tissue of lower limb, including hip
1594;C45-C49;C49.3;Connective and soft tissue of thorax
1595;C45-C49;C49.4;Connective and soft tissue of abdomen
1596;C45-C49;C49.5;Connective and soft tissue of pelvis
1597;C45-C49;C49.6;Connective and soft tissue of trunk, unspecified
1598;C45-C49;C49.8;Overlapping lesion of connective and soft tissue
1599;C45-C49;C49.9;Connective and soft tissue, unspecified(SARCOMA, PRIMARY, MALIGNANT, SITE UNSPECIFIED)
1600;C45-C49;C49.90;Sarcoma,C45-C49
1601;C45-C49;C49.91;Sarcoma,C45-C49
1602;C50;C50;Malignant neoplasm of breast
1603;C50;C50.0;Malignant neoplasm of nipple and areola
1604;C50;C50.1;Malignant neoplasm of central portion of breast
1605;C50;C50.2;Malignant neoplasm of upper-inner quadrant of breast
1606;C50;C50.3;Malignant neoplasm of lower-inner quadrant of breast
1607;C50;C50.4;Malignant neoplasm of upper-outer quadrant of breast
1608;C50;C50.5;Malignant neoplasm of lower-outer quadrant of breast
1609;C50;C50.6;Malignant neoplasm of axillary tail of breast
1610;C50;C50.8;Malignant neoplasm of overlapping lesion of breast
1611;C50;C50.9;Malignant neoplasm of breast, unspecified(Breast Cancer )(CANCER/CARCINOMA, BREAST, PRIMARY SITE, MALIGNANT)
1612;C50;C50.99/0;Cancer, breast
1613;C50;C50.99/1;Carcinoma, breast
1614;C51-C58;C51;Malignant neoplasm of vulva
1615;C51-C58;C51.0;Labium majus
1616;C51-C58;C51.1;Labium minus
1617;C51-C58;C51.2;Clitoris,C51-C58
1618;C51-C58;C51.8;Overlapping lesion of vulva
1619;C51-C58;C51.9;Vulva, unspecified
1620;C51-C58;C52;Malignant neoplasm of vagina
1621;C51-C58;C53;Malignant neoplasm of cervix uteri
1622;C51-C58;C53.0;Endocervix,C51-C58
1623;C51-C58;C53.1;Exocervix,C51-C58
1624;C51-C58;C53.8;Overlapping lesion of cervix uteri
1625;C51-C58;C53.9;Cervix uteri, unspecified(Cervical Cancer )(CARCINOMA, CERVICAL, MALIGNANT, PRIMARY SITE)
1626;C51-C58;C53.9/0;Carcinoma, cervical
1627;C51-C58;C54;Malignant neoplasm of corpus uteri
1628;C51-C58;C54.0;Isthmus uteri
1629;C51-C58;C54.1;Endometrium,C51-C58
1630;C51-C58;C54.1/0;Endometrial adenocarcinoma
1631;C51-C58;C54.2;Myometrium,C51-C58
1632;C51-C58;C54.3;Fundus uteri
1633;C51-C58;C54.8;Overlapping lesion of corpus uteri
1634;C51-C58;C54.9;Corpus uteri, unspecified
1635;C51-C58;C55;Malignant neoplasm of uterus, part unspecified(CARCINOMA, UTERUS, MALIGNANT, PRIMARY SITE)
1636;C51-C58;C55/.0;Carcinoma, uterus
1637;C51-C58;C56;Malignant neoplasm of ovary(CARCINOMA, OVARY, MALIGNANT, PRIMARY SITE)(OVARIAN NEW GROWTH, MALIGNANT)
1638;C51-C58;C56/.0;Carcinoma, ovary
1639;C51-C58;C56/.1;Ovarian new growth, malignant [Ovarian neoplasm, malignant]
1640;C51-C58;C57;Malignant neoplasm of other and unspecified female genital organs
1641;C51-C58;C57.0;Malignant neoplasm of fallopian tube
1642;C51-C58;C57.1;Malignant neoplasm of broad ligament
1643;C51-C58;C57.2;Malignant neoplasm of round ligament
1644;C51-C58;C57.3;Malignant neoplasm of parametrium
1645;C51-C58;C57.4;Malignant neoplasm of uterine adnexa, unspecified
1646;C51-C58;C57.7;Malignant neoplasm of other specified female genital organs
1647;C51-C58;C57.8;Malignant neoplasm of overlapping lesion of female genital organs
1648;C51-C58;C57.9;Malignant neoplasm of female genital organ, unspecified
1649;C51-C58;C58;Malignant neoplasm of placenta
1650;C60-C63;C60;Malignant neoplasm of penis
1651;C60-C63;C60.0;Malignant neoplasm of prepuce
1652;C60-C63;C60.1;Malignant neoplasm of glans penis
1653;C60-C63;C60.2;Malignant neoplasm of body of penis
1654;C60-C63;C60.8;Malignant neoplasm of overlapping lesion of penis
1655;C60-C63;C60.9;Malignant neoplasm of penis, unspecified
1656;C60-C63;C61;Malignant neoplasm of prostate(CANCER/CARCINOMA, PROSTATE, PRIMARY SITE, MALIGNANT)
1657;C60-C63;C61/.0;Cancer, prostate
1658;C60-C63;C61/.1;Carcinoma, prostate
1659;C60-C63;C62;Malignant neoplasm of testis
1660;C60-C63;C62.0;Malignant neoplasm of undescended testis
1661;C60-C63;C62.1;Malignant neoplasm of descended testis
1662;C60-C63;C62.9;Malignant neoplasm of testis, unspecified
1663;C60-C63;C63;Malignant neoplasm of other and unspecified male genital organs
1664;C60-C63;C63.0;Malignant neoplasm of epididymis
1665;C60-C63;C63.1;Malignant neoplasm of spermatic cord
1666;C60-C63;C63.2;Malignant neoplasm of scrotum
1667;C60-C63;C63.7;Malignant neoplasm of other specified male genital organs
1668;C60-C63;C63.8;Malignant neoplasm of overlapping lesion of male genital organs
1669;C60-C63;C63.9;Malignant neoplasm of male genital organ, unspecified
1670;C64-C68;C64;Malignant neoplasm of kidney, except renal pelvis
1671;C64-C68;C65;Malignant neoplasm of renal pelvis
1672;C64-C68;C66;Malignant neoplasm of ureter
1673;C64-C68;C67;Malignant neoplasm of bladder
1674;C64-C68;C67.0;Malignant neoplasm of trigone of bladder
1675;C64-C68;C67.1;Malignant neoplasm of dome of bladder
1676;C64-C68;C67.2;Malignant neoplasm of lateral wall of bladder
1677;C64-C68;C67.3;Malignant neoplasm of anterior wall of bladder
1678;C64-C68;C67.4;Malignant neoplasm of posterior wall of bladder
1679;C64-C68;C67.5;Malignant neoplasm of bladder neck
1680;C64-C68;C67.6;Malignant neoplasm of ureteric orifice
1681;C64-C68;C67.7;Malignant neoplasm of urachus
1682;C64-C68;C67.8;Malignant neoplasm of overlapping lesion of bladder
